Source,Target,Type,Weight
0,1,Directed,0.2767655292719658
0,2,Directed,0.2740414934562248
0,4,Directed,0.3378265977170553
0,8,Directed,0.40603816267447423
0,9,Directed,0.6536357649335287
0,10,Directed,0.49917911074882243
0,13,Directed,0.4113923760638104
0,18,Directed,0.3429544066620082
0,21,Directed,0.3359315053115507
0,24,Directed,0.435514932142013
0,28,Directed,0.5527478678695722
0,30,Directed,0.39845210854233554
0,32,Directed,0.5133766173188301
0,37,Directed,0.4077199970925693
0,48,Directed,0.5101756801682571
0,50,Directed,0.4271119656667972
0,51,Directed,0.5016200824989936
0,60,Directed,0.5789110347098576
0,67,Directed,0.5688239564499571
0,69,Directed,0.6021164551165574
0,77,Directed,0.6808128819370932
0,82,Directed,0.40208004529944824
0,90,Directed,0.5458833287786965
0,94,Directed,0.5327387624244324
0,97,Directed,0.5111382139327044
1,0,Directed,0.22723284520982567
1,2,Directed,0.13020949946834312
1,3,Directed,0.30228681046486666
1,8,Directed,0.2586852040066436
1,15,Directed,0.37133782344086586
1,53,Directed,0.39231657986459545
1,60,Directed,0.45949152803768867
2,0,Directed,0.2140896854882307
2,1,Directed,0.41275960288504343
2,3,Directed,0.5132758803008932
2,4,Directed,0.3802263657610391
2,6,Directed,0.4702838491221299
2,7,Directed,0.4260790212990595
2,9,Directed,0.5742756681541187
2,11,Directed,0.36071890527388645
2,12,Directed,0.6227084990668228
2,13,Directed,0.52234463565896
2,16,Directed,0.4151461130377709
2,19,Directed,0.7274770938921971
2,20,Directed,0.3598457368476652
2,25,Directed,0.5899294384303932
2,26,Directed,0.617695079008551
2,27,Directed,0.5578561053062621
2,28,Directed,0.4169854558771669
2,31,Directed,0.8571170078041482
2,36,Directed,0.34488525261773956
2,38,Directed,0.5457146526914267
2,42,Directed,0.5277028450040778
2,45,Directed,0.5531625329711815
2,52,Directed,0.485776068708341
2,61,Directed,0.6484320516688646
2,65,Directed,0.5997483498916023
2,67,Directed,0.3683317003511305
2,70,Directed,0.7076596381691569
2,75,Directed,0.43422623985935654
2,80,Directed,0.5659872439102525
2,81,Directed,0.42462921110458907
2,86,Directed,0.5671677945594232
2,88,Directed,0.4830109419970715
2,89,Directed,0.5076986396386401
2,90,Directed,0.38009087934020236
2,96,Directed,0.5216381539450338
2,98,Directed,0.6388327967814224
3,1,Directed,0.4947758108306148
3,2,Directed,0.5990870002039006
3,6,Directed,0.4244605712892509
3,10,Directed,0.29816634829095057
3,11,Directed,0.5308663447548057
3,14,Directed,0.6531142776069823
3,16,Directed,0.3837576004819396
3,21,Directed,0.39442896309723335
3,36,Directed,0.7062893819606695
3,38,Directed,0.5537139160553376
3,39,Directed,0.34620624621522067
3,41,Directed,0.4600417289732037
3,49,Directed,0.33911356115647284
3,58,Directed,0.4540962803448631
3,59,Directed,0.494854441488612
3,80,Directed,0.6666016131493435
3,82,Directed,0.24007562597380158
3,83,Directed,0.4331269917018949
3,87,Directed,0.4796388864472862
3,91,Directed,0.38735156541366667
4,0,Directed,0.38790592061638496
4,2,Directed,0.24365881015939791
4,5,Directed,0.5448618167695642
4,7,Directed,0.37031570025539834
4,30,Directed,0.384366207060367
5,4,Directed,0.42007717493367536
5,17,Directed,0.23861424841258697
5,34,Directed,0.3941953557365387
5,46,Directed,0.35629612696985813
5,88,Directed,0.45424290121028144
6,3,Directed,0.28699707718462497
6,2,Directed,0.45168848833083924
6,12,Directed,0.43117983081549166
6,14,Directed,0.3863440191818652
6,18,Directed,0.43917885594239503
6,24,Directed,0.5310143787292101
6,43,Directed,0.4598555519184415
6,44,Directed,0.2414067194459662
6,66,Directed,0.48103082044448664
6,70,Directed,0.5300117022594566
6,72,Directed,0.5021947294714705
6,85,Directed,0.34884255255248175
6,87,Directed,0.6052442218160219
7,2,Directed,0.18577007662785475
7,4,Directed,0.3681170555928511
7,34,Directed,0.4740303345263056
7,54,Directed,0.329680783523538
7,66,Directed,0.49119197745668186
7,74,Directed,0.49796723847204616
7,94,Directed,0.38067031301952947
8,1,Directed,0.3972971267678615
8,0,Directed,0.2467595799331555
8,56,Directed,0.5324939514003177
9,2,Directed,0.4688556337570963
9,0,Directed,0.4421452367730184
9,19,Directed,0.643709304209324
9,23,Directed,0.3102910296985024
9,29,Directed,0.5082841439209005
9,33,Directed,0.2317470238503943
9,51,Directed,0.4780148291716395
9,58,Directed,0.5400537285539604
9,72,Directed,0.3994756256097483
9,73,Directed,0.3549121344273176
10,0,Directed,0.45607366013779654
10,3,Directed,0.3190834430565211
10,15,Directed,0.44930671244950465
10,17,Directed,0.41846395716890333
10,33,Directed,0.22574090269714006
10,73,Directed,0.4726160304883005
10,79,Directed,0.4436702739774525
10,92,Directed,0.4601712616244005
11,3,Directed,0.29517212276419225
11,2,Directed,0.35005462727975867
11,20,Directed,0.3749905138520103
11,56,Directed,0.3203413201543775
11,57,Directed,0.40503122362893595
11,64,Directed,0.43580910589537525
11,68,Directed,0.3985378896631457
11,79,Directed,0.5638256463421347
11,98,Directed,0.5608022206890731
12,6,Directed,0.19629255612116636
12,2,Directed,0.3455322438270657
12,26,Directed,0.5485561078489105
13,2,Directed,0.3667142954652248
13,0,Directed,0.31947213845882605
13,23,Directed,0.38705428604266917
13,31,Directed,0.46344930812633034
13,40,Directed,0.5635262835387721
13,46,Directed,0.38096586507433183
13,49,Directed,0.3301254758921332
13,83,Directed,0.500114561311792
14,6,Directed,0.37219932351501
14,3,Directed,0.5088422679948094
14,35,Directed,0.2149849249685043
14,78,Directed,0.3925263192295534
14,84,Directed,0.567834035695185
15,1,Directed,0.3243367137207964
15,10,Directed,0.3251371116336297
15,35,Directed,0.5256712792758976
16,3,Directed,0.20740535693688866
16,2,Directed,0.28827331340011664
16,22,Directed,0.23114667555647064
16,25,Directed,0.7679078894244838
16,37,Directed,0.30361603642386825
16,40,Directed,0.2863401330412084
16,44,Directed,0.309701886515957
16,48,Directed,0.6157967191766845
16,53,Directed,0.47509063310429056
16,65,Directed,0.5753116595514749
17,10,Directed,0.4820699212010281
17,5,Directed,0.40499081908488793
17,22,Directed,0.451693839798262
17,47,Directed,0.3377406240100075
17,57,Directed,0.4507424092522942
17,68,Directed,0.44972226039465885
18,6,Directed,0.2738787394950508
18,0,Directed,0.2543409347514405
19,9,Directed,0.33888512411883465
19,2,Directed,0.6110426309697361
20,11,Directed,0.48314212674972234
20,2,Directed,0.37455398708609267
20,50,Directed,0.5414436747845998
21,0,Directed,0.19375092547561612
21,3,Directed,0.4911198972165333
21,45,Directed,0.2819231678453087
21,62,Directed,0.3133644575740948
21,75,Directed,0.5817133946150992
21,76,Directed,0.484592216623238
22,17,Directed,0.48152773708555263
22,16,Directed,0.28050434987710704
22,86,Directed,0.5770108394809188
22,99,Directed,0.38082437734583174
23,9,Directed,0.28211793163894583
23,13,Directed,0.23366352312209687
23,27,Directed,0.5101740426982255
23,91,Directed,0.38211070152683047
23,99,Directed,0.3568769144226454
24,6,Directed,0.401495554778203
24,0,Directed,0.45245001391233347
24,29,Directed,0.3191061948645535
25,16,Directed,0.6185142500285334
25,2,Directed,0.47626423343676727
26,12,Directed,0.5137849315901932
26,2,Directed,0.2347698895004207
26,32,Directed,0.5084561413786032
26,89,Directed,0.43418230091662
27,2,Directed,0.2670104779720812
27,23,Directed,0.44675557646922515
27,43,Directed,0.4388441589169554
27,47,Directed,0.41717113149295515
28,2,Directed,0.30022923212977487
28,0,Directed,0.4551922415122361
29,24,Directed,0.4275499862716312
29,9,Directed,0.4888071268318202
30,4,Directed,0.23468554045135492
30,0,Directed,0.40566539198493984
30,62,Directed,0.39295370013059416
30,63,Directed,0.4894243433153644
31,2,Directed,0.4076442403660797
31,13,Directed,0.2646525103478942
32,0,Directed,0.37553157111636026
32,26,Directed,0.5321587236083363
33,9,Directed,0.16233158573404666
33,10,Directed,0.2124731856007344
33,52,Directed,0.44342750248400453
33,76,Directed,0.38977502117083784
34,7,Directed,0.5582585489725999
34,5,Directed,0.21053414797172312
34,71,Directed,0.3286534908696851
34,84,Directed,0.24694897180350228
34,85,Directed,0.5089134678275267
35,15,Directed,0.4276939412911903
35,14,Directed,0.19705163506578643
